央视,#genre#
CCTV15,http://110.178.52.119:8083/udp/239.1.1.22:8022
CCTV16,http://110.178.52.119:8083/udp/239.1.1.122:8122
CCTV17,http://110.178.52.119:8083/udp/239.1.1.23:8023
CCTV女性时尚,http://110.178.52.119:8083/udp/239.1.1.89:8089
CCTV电视指南,http://110.178.52.119:8083/udp/239.1.1.90:8090
CCTV央视文化精品,http://110.178.52.119:8083/udp/239.1.1.91:8091
CCTV风云剧场,http://110.178.52.119:8083/udp/239.1.1.93:8093
CCTV第一剧场,http://110.178.52.119:8083/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://110.178.52.119:8083/udp/239.1.1.95:8095
CCTV风云音乐高请,http://110.178.52.119:8083/udp/239.1.1.96:8096
CCTV兵器科技,http://110.178.52.119:8083/udp/239.1.1.97:8097
CCTV世界地理,http://110.178.52.119:8083/udp/239.1.1.99:8099
CCTV央视台球,http://110.178.52.119:8083/udp/239.1.1.100:8100
CCTV风云足球,http://110.178.52.119:8083/udp/239.1.1.101:8101
CCTV高尔夫网球,http://110.178.52.119:8083/udp/239.1.1.102:8102

CCTV1,http://110.178.52.119:8082/udp/239.1.1.7:8007
CCTV2,http://110.178.52.119:8082/udp/239.1.1.8:8008
CCTV3,http://110.178.52.119:8082/udp/239.1.1.9:8009
CCTV4,http://110.178.52.119:8082/udp/239.1.1.10:8010
CCTV5,http://110.178.52.119:8082/udp/239.1.1.11:8011
CCTV5,http://110.178.52.119:8082/udp/239.1.1.12:8012
CCTV6,http://110.178.52.119:8082/udp/239.1.1.13:8013
CCTV7,http://110.178.52.119:8082/udp/239.1.1.14:8014
CCTV8,http://110.178.52.119:8082/udp/239.1.1.15:8015
CCTV9,http://110.178.52.119:8082/udp/239.1.1.16:8016
CCTV10,http://110.178.52.119:8082/udp/239.1.1.17:8017
CCTV11,http://110.178.52.119:8082/udp/239.1.1.18:8018
CCTV12,http://110.178.52.119:8082/udp/239.1.1.19:8019
CCTV13,http://110.178.52.119:8082/udp/239.1.1.20:8020
CCTV14,http://110.178.52.119:8082/udp/239.1.1.21:8021
CCTV15,http://110.178.52.119:8082/udp/239.1.1.22:8022
CCTV16,http://110.178.52.119:8082/udp/239.1.1.122:8122
CCTV17,http://110.178.52.119:8082/udp/239.1.1.23:8023
CCTV女性时尚,http://110.178.52.119:8082/udp/239.1.1.89:8089
CCTV电视指南,http://110.178.52.119:8082/udp/239.1.1.90:8090
CCTV央视文化精品,http://110.178.52.119:8082/udp/239.1.1.91:8091
CCTV风云剧场,http://110.178.52.119:8082/udp/239.1.1.93:8093
CCTV第一剧场,http://110.178.52.119:8082/udp/239.1.1.94:8094
CCTV怀旧剧场高请,http://110.178.52.119:8082/udp/239.1.1.95:8095
CCTV风云音乐高请,http://110.178.52.119:8082/udp/239.1.1.96:8096
CCTV兵器科技,http://110.178.52.119:8082/udp/239.1.1.97:8097
CCTV世界地理,http://110.178.52.119:8082/udp/239.1.1.99:8099
CCTV央视台球,http://110.178.52.119:8082/udp/239.1.1.100:8100
CCTV风云足球,http://110.178.52.119:8082/udp/239.1.1.101:8101
CCTV高尔夫网球,http://110.178.52.119:8082/udp/239.1.1.102:8102

CCTV1,http://110.178.52.119:8084/udp/239.1.1.7:8007
CCTV2,http://110.178.52.119:8084/udp/239.1.1.8:8008
CCTV3,http://110.178.52.119:8084/udp/239.1.1.9:8009
CCTV4,http://110.178.52.119:8084/udp/239.1.1.10:8010
CCTV5,http://110.178.52.119:8084/udp/239.1.1.11:8011
CCTV5,http://110.178.52.119:8084/udp/239.1.1.12:8012
CCTV6,http://110.178.52.119:8084/udp/239.1.1.13:8013
CCTV7,http://110.178.52.119:8084/udp/239.1.1.14:8014
CCTV8,http://110.178.52.119:8084/udp/239.1.1.15:8015
CCTV9,http://110.178.52.119:8084/udp/239.1.1.16:8016
CCTV10,http://110.178.52.119:8084/udp/239.1.1.17:8017
CCTV11,http://110.178.52.119:8084/udp/239.1.1.18:8018
