卫视,#genre#
浙江卫视,http://110.178.52.119:8083/udp/239.1.1.38:8038
深圳卫视,http://110.178.52.119:8083/udp/239.1.1.39:8039
广西卫视,http://110.178.52.119:8083/udp/239.1.1.40:8040
北京卫视,http://110.178.52.119:8083/udp/239.1.1.41:8041
辽宁卫视,http://110.178.52.119:8083/udp/239.1.1.42:8042
贵州卫视,http://110.178.52.119:8083/udp/239.1.1.43:8043
安徽卫视,http://110.178.52.119:8083/udp/239.1.1.44:8044
天津卫视,http://110.178.52.119:8083/udp/239.1.1.46:8046
山东卫视,http://110.178.52.119:8083/udp/239.1.1.47:8047
河北卫视,http://110.178.52.119:8083/udp/239.1.1.48:8048
广东卫视,http://110.178.52.119:8083/udp/239.1.1.49:8049
江西卫视,http://110.178.52.119:8083/udp/239.1.1.52:8052
陕西卫视,http://110.178.52.119:8083/udp/239.1.1.50:8050
甘肃卫视,http://110.178.52.119:8083/udp/239.1.1.51:8051
青海卫视,http://110.178.52.119:8083/udp/239.1.1.53:8053
云南卫视,http://110.178.52.119:8083/udp/239.1.1.54:8054
海南卫视,http://110.178.52.119:8083/udp/239.1.1.55:8055
宁夏卫视,http://110.178.52.119:8083/udp/239.1.1.56:8056
西藏卫视,http://110.178.52.119:8083/udp/239.1.1.57:8057
兵团卫视,http://110.178.52.119:8083/udp/239.1.1.58:8058
新疆卫视,http://110.178.52.119:8083/udp/239.1.1.59:8059
内蒙古卫视,http://110.178.52.119:8083/udp/239.1.1.60:8060
大湾区卫视,http://110.178.52.119:8083/udp/239.1.1.69:8069
三沙卫视,http://110.178.52.119:8083/udp/239.1.1.70:8070
厦门卫视,http://110.178.52.119:8083/udp/239.1.1.71:8071
农林卫视,http://110.178.52.119:8083/udp/239.1.1.73:8073
山东教育卫视,http://110.178.52.119:8083/udp/239.1.1.74:8074
山西卫视,http://110.178.52.119:8083/udp/239.1.1.1:8001

湖南卫视,http://110.178.52.119:8082/udp/239.1.1.28:8028
四川卫视,http://110.178.52.119:8082/udp/239.1.1.29:8029
吉林卫视,http://110.178.52.119:8082/udp/239.1.1.30:8030
上海卫视,http://110.178.52.119:8082/udp/239.1.1.31:8031
湖北卫视,http://110.178.52.119:8082/udp/239.1.1.32:8032
东南卫视,http://110.178.52.119:8082/udp/239.1.1.33:8033
河南卫视,http://110.178.52.119:8082/udp/239.1.1.34:8034
江苏卫视,http://110.178.52.119:8082/udp/239.1.1.35:8035
重庆卫视,http://110.178.52.119:8082/udp/239.1.1.36:8036
黑龙江卫视,http://110.178.52.119:8082/udp/239.1.1.37:8037
浙江卫视,http://110.178.52.119:8082/udp/239.1.1.38:8038
深圳卫视,http://110.178.52.119:8082/udp/239.1.1.39:8039
广西卫视,http://110.178.52.119:8082/udp/239.1.1.40:8040
北京卫视,http://110.178.52.119:8082/udp/239.1.1.41:8041
辽宁卫视,http://110.178.52.119:8082/udp/239.1.1.42:8042
贵州卫视,http://110.178.52.119:8082/udp/239.1.1.43:8043
安徽卫视,http://110.178.52.119:8082/udp/239.1.1.44:8044
天津卫视,http://110.178.52.119:8082/udp/239.1.1.46:8046
山东卫视,http://110.178.52.119:8082/udp/239.1.1.47:8047
河北卫视,http://110.178.52.119:8082/udp/239.1.1.48:8048
广东卫视,http://110.178.52.119:8082/udp/239.1.1.49:8049
江西卫视,http://110.178.52.119:8082/udp/239.1.1.52:8052
陕西卫视,http://110.178.52.119:8082/udp/239.1.1.50:8050
甘肃卫视,http://110.178.52.119:8082/udp/239.1.1.51:8051
青海卫视,http://110.178.52.119:8082/udp/239.1.1.53:8053
云南卫视,http://110.178.52.119:8082/udp/239.1.1.54:8054
海南卫视,http://110.178.52.119:8082/udp/239.1.1.55:8055
宁夏卫视,http://110.178.52.119:8082/udp/239.1.1.56:8056
西藏卫视,http://110.178.52.119:8082/udp/239.1.1.57:8057
兵团卫视,http://110.178.52.119:8082/udp/239.1.1.58:8058
新疆卫视,http://110.178.52.119:8082/udp/239.1.1.59:8059
内蒙古卫视,http://110.178.52.119:8082/udp/239.1.1.60:8060
大湾区卫视,http://110.178.52.119:8082/udp/239.1.1.69:8069
三沙卫视,http://110.178.52.119:8082/udp/239.1.1.70:8070
厦门卫视,http://110.178.52.119:8082/udp/239.1.1.71:8071
农林卫视,http://110.178.52.119:8082/udp/239.1.1.73:8073
山东教育卫视,http://110.178.52.119:8082/udp/239.1.1.74:8074
山西卫视,http://110.178.52.119:8082/udp/239.1.1.1:8001

湖南卫视,http://110.178.52.119:8084/udp/239.1.1.28:8028
四川卫视,http://110.178.52.119:8084/udp/239.1.1.29:8029
吉林卫视,http://110.178.52.119:8084/udp/239.1.1.30:8030
上海卫视,http://110.178.52.119:8084/udp/239.1.1.31:8031
湖北卫视,http://110.178.52.119:8084/udp/239.1.1.32:8032
东南卫视,http://110.178.52.119:8084/udp/239.1.1.33:8033
河南卫视,http://110.178.52.119:8084/udp/239.1.1.34:8034
江苏卫视,http://110.178.52.119:8084/udp/239.1.1.35:8035
重庆卫视,http://110.178.52.119:8084/udp/239.1.1.36:8036
黑龙江卫视,http://110.178.52.119:8084/udp/239.1.1.37:8037
浙江卫视,http://110.178.52.119:8084/udp/239.1.1.38:8038
深圳卫视,http://110.178.52.119:8084/udp/239.1.1.39:8039
广西卫视,http://110.178.52.119:8084/udp/239.1.1.40:8040
北京卫视,http://110.178.52.119:8084/udp/239.1.1.41:8041
辽宁卫视,http://110.178.52.119:8084/udp/239.1.1.42:8042
贵州卫视,http://110.178.52.119:8084/udp/239.1.1.43:8043
安徽卫视,http://110.178.52.119:8084/udp/239.1.1.44:8044
天津卫视,http://110.178.52.119:8084/udp/239.1.1.46:8046
山东卫视,http://110.178.52.119:8084/udp/239.1.1.47:8047
河北卫视,http://110.178.52.119:8084/udp/239.1.1.48:8048
广东卫视,http://110.178.52.119:8084/udp/239.1.1.49:8049
江西卫视,http://110.178.52.119:8084/udp/239.1.1.52:8052
陕西卫视,http://110.178.52.119:8084/udp/239.1.1.50:8050
甘肃卫视,http://110.178.52.119:8084/udp/239.1.1.51:8051
青海卫视,http://110.178.52.119:8084/udp/239.1.1.53:8053
云南卫视,http://110.178.52.119:8084/udp/239.1.1.54:8054
海南卫视,http://110.178.52.119:8084/udp/239.1.1.55:8055
宁夏卫视,http://110.178.52.119:8084/udp/239.1.1.56:8056
西藏卫视,http://110.178.52.119:8084/udp/239.1.1.57:8057
兵团卫视,http://110.178.52.119:8084/udp/239.1.1.58:8058
新疆卫视,http://110.178.52.119:8084/udp/239.1.1.59:8059
内蒙古卫视,http://110.178.52.119:8084/udp/239.1.1.60:8060
大湾区卫视,http://110.178.52.119:8084/udp/239.1.1.69:8069
三沙卫视,http://110.178.52.119:8084/udp/239.1.1.70:8070
厦门卫视,http://110.178.52.119:8084/udp/239.1.1.71:8071
农林卫视,http://110.178.52.119:8084/udp/239.1.1.73:8073
山东教育卫视,http://110.178.52.119:8084/udp/239.1.1.74:8074
山西卫视,http://110.178.52.119:8084/udp/239.1.1.1:8001

河北卫视,http://111.227.194.192:4022/rtp/239.254.200.174:6000
湖南卫视,http://111.227.194.192:4022/rtp/239.254.200.48:8012
浙江卫视,http://111.227.194.192:4022/rtp/239.254.200.53:8036
江苏卫视,http://111.227.194.192:4022/rtp/239.254.200.51:8028
安徽卫视,http://111.227.194.192:4022/rtp/239.254.200.163:6000
东南卫视,http://111.227.194.192:4022/rtp/239.254.201.13:6291
北京卫视,http://111.227.194.192:4022/rtp/239.254.200.47:8024
天津卫视,http://111.227.194.192:4022/rtp/239.254.200.54:1234
辽宁卫视,http://111.227.194.192:4022/rtp/239.254.200.57:8056
